Schmetterling;Puder;Porzellan;Markt;Kokon
Fitnessstudio;Tonne;Natur;Abendbrot;Auskunft
Verbot;Brille;Mann;Tunnel;Universum
Müll;Zelt;Wand;Vater;Postkarte
Kabel;Papierflieger;LKW;Kegel;Anschlag
Flugbegleiter;Copilot;Ehe;Radler;Ingenieur
Anwalt;Verlag;Emoji;Zugabteil;Segelschiff
Ohrring;Reich;Zoll;China;Infrastruktur
Trend;Training;Spülmaschine;Lampenfieber;Hexe
Sauerstoff;Abflug;Schallplattenspieler;Kaserne;Smartphone
Verein;Schlüssel;Schublade;Katze;Brötchen
Ausstellung;Vogelfutter;Butter;Socke;Comic
Boot;Dessert;Tennis;Koteletten;Alaska
Kiwi;Schuppen;Plagiat;Soldat;Krankenwagen
Fleisch;Scheidung;Muskel;Keller;Gasse
Hamburger;Kiefer;Kohle;Plan;Pass
Rügen;See;Schild;Tor;Weizen
Rute;Otter;Niete;Spinne;Zylinder
Wanze;Maus;Löffel;Bremse;Blatt
